metabolite_name,superclass,subclass,pathway_tag,annotation_source,review_status,ambiguous_flag,notes
cis-Aconitic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Citric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
D-2-Hydroxyglutaric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glutaconic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glutaric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glycylproline,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glycolic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Hydroxypropionic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Isocitric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Itaconic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Malic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Malonic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Guanidoacetic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Oxalic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Succinic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Alloisoleucine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
5-Hydroxy-tryptophan,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Adenosine monophosphate (AMP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
S-Adenosylhomocysteine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Guanosine monophosphate (GMP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Quinic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Alpha-aminobutyric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Shikimic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Anserine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Carnosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Arginine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Nicotinamide,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Picolinic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
α-Ketoglutaric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Guanosine diphosphate(GDP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Riboflavin-5′-monophosphate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glycylleucine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Asparagine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Phosphoglycerate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Adenosine-5′-triphosphate(ATP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Adenosine-5′-diphosphate(ADP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
"1,4-Dihydronicotinamide adenine dinucleotide (NADH)",,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Aspartic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
"Adenosine-3′,5′-cyclic monophosphate(cAMP)",,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Histidine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Quinolinic Acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Hydroxyl-kynurenine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Formyl-kynurenine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Homocitrulline,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Vitamin B1,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Vitamin B2,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Nicotinic acid(VB3),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Pantothenic acid(VB5),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Isoleucine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Hydroxocobalamin,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Normetanephrine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Leucine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Acetylcholine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Trimethylamine-N-oxide,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Trimethylamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Betaine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Choline,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Kynurenine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Creatinine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Carnitine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Taurine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Lactate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Lysine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Hydroxyproline,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Dimethylamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Vitamin B9,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Allantoin,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Methionine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
"1,3-Diaminopropane",,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Norleucine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Cystine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Phenylalanine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Leucyl-Glycine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Pipecolic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Proline,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Serine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Threonine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Tryptophan,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Tyrosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Valine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Methylcysteine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylalanine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glutamic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylaspartic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylserine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Pyroglutamic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Sarcosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Homoserine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Norvaline,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glutamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Gama-glutamylalanine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Cysteine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Putreanine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
4-Aminohippuric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Hydroxypyruvic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
5-Methoxydimethyltryptamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N6-methyladenosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2'-O-methyladenosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
7-methylguanosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Hordenine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2-Aminooctanoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Hydroxyisocaproic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylcadaverine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Nicotinuric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
5-Methoxytryptamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Propionylglycine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
O-Succinyhomoserine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glucuronolactone,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glucosamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
trans-Aconitic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
1-Methylhistidine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
